time_s,y_pred,lift_filt,tail_raw,tail_filt,dot_alpha_raw,sp_ref,depth_target,e,de,s,u,Kp,Ki,Kd,K1,K2,K,tau1,L,fc_lift,fc_tail,omega_ref,lift_offset,tail_offset,is_auto,alpha_manual,u_eq,u_sw,u_sw_i,est_depth,dot_alpha_ref,ddot_alpha_ref
13:51:45:129,25.226711,25.170134,41.934807,41.978073,0.000000,24.999804,100.000000,0.226908,0.418930,0.561016,0.108109,0.640000,0.170000,0.860000,1.130000,0.350000,6.697600,1.224400,0.133100,10.000000,10.000000,2.000000,266.600006,126.400002,0.000000,25.000000,0.002615,0.105494,0.350107,111.643295,0.000196,-0.000000
13:51:45:129,25.224043,25.170361,42.011101,41.978706,0.000000,24.999804,100.000000,0.224239,0.267383,0.429745,0.089060,0.640000,0.170000,0.860000,1.130000,0.350000,6.697600,1.224400,0.133100,10.000000,10.000000,2.000000,266.600006,126.400002,0.000000,25.000000,0.004528,0.084532,0.343107,111.644806,0.000196,-0.000000
13:51:45:129,25.221666,25.170553,41.972954,41.996738,0.000000,24.999804,100.000000,0.221863,0.100223,0.285221,0.063497,0.640000,0.170000,0.860000,1.130000,0.350000,6.697600,1.224400,0.133100,10.000000,10.000000,2.000000,266.600006,126.400002,0.000000,25.000000,0.006659,0.056838,0.336107,111.681084,0.000196,-0.000000
13:51:45:129,25.222820,25.173937,41.980583,41.994316,0.000000,24.999804,100.000000,0.223017,-0.022245,0.181393,0.040670,0.640000,0.170000,0.860000,1.130000,0.350000,6.697600,1.224400,0.133100,10.000000,10.000000,2.000000,266.600006,126.400002,0.000000,25.000000,0.008325,0.032346,0.329107,111.679962,0.000196,-0.000000
13:51:45:129,25.233273,25.186279,42.011101,41.989384,0.000000,24.999804,100.000000,0.233469,-0.106913,0.116043,0.023181,0.640000,0.170000,0.860000,1.130000,0.350000,6.697600,1.224400,0.133100,10.000000,10.000000,2.000000,266.600006,126.400002,0.000000,25.000000,0.009825,0.013355,0.322107,111.683678,0.000196,-0.000000
13:51:45:129,25.245895,25.200481,41.988213,41.970840,0.000000,24.999804,100.000000,0.246092,-0.154460,0.084048,0.013568,0.640000,0.170000,0.860000,1.130000,0.350000,6.697600,1.224400,0.133100,10.000000,10.000000,2.000000,266.600006,126.400002,0.000000,25.000000,0.010912,0.002655,0.315107,111.662209,0.000196,-0.000000
13:51:45:140,25.255938,25.211796,41.911919,41.960938,0.000000,24.999804,100.000000,0.256134,-0.133018,0.109775,0.025082,0.640000,0.170000,0.860000,1.130000,0.350000,6.697600,1.224400,0.133100,10.000000,10.000000,2.000000,266.600006,126.400002,0.000000,25.000000,0.010991,0.014091,0.308107,111.654854,0.000196,-0.000000
13:51:45:159,25.256596,25.213512,41.957695,41.964996,0.000000,24.999804,100.000000,0.256792,-0.110966,0.130035,0.033334,0.640000,0.170000,0.860000,1.130000,0.350000,6.697600,1.224400,0.133100,10.000000,10.000000,2.000000,266.600006,126.400002,0.000000,25.000000,0.010722,0.022612,0.301107,111.664856,0.000196,-0.000000
13:51:45:179,25.250782,25.208578,41.980583,41.959621,0.000000,24.999804,100.000000,0.250978,-0.089654,0.145506,0.039338,0.640000,0.170000,0.860000,1.130000,0.350000,6.697600,1.224400,0.133100,10.000000,10.000000,2.000000,266.600006,126.400002,0.000000,25.000000,0.010229,0.029108,0.294107,111.648682,0.000196,-0.000000
13:51:45:199,25.243311,25.201870,41.995842,41.960655,0.000000,24.999804,100.000000,0.243507,-0.069986,0.158479,0.044292,0.640000,0.170000,0.860000,1.130000,0.350000,6.697600,1.224400,0.133100,10.000000,10.000000,2.000000,266.600006,126.400002,0.000000,25.000000,0.009698,0.034594,0.287107,111.643364,0.000196,-0.000000
